"","X","phrase","category","c2004","c2005","c2006","c2007","c2008","c2009","c2010","c2011","c2012","c2013","c2014","c2015","c2016"
"167","167","abuse   ","n","0","1","3","3","8","7","1","1","0","3","6","1","1"
"168","168","abuses   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","169","abused   ","n","0","0","0","0","0","1","0","0","0","0","1","0","0"
"170","170","abusing   ","n","0","0","0","0","0","0","0","0","0","1","0","0","2"
"171","171","abusive   ","n","0","0","0","0","1","0","1","1","0","2","0","0","0"
"172","172","assault   ","n","0","0","0","0","0","1","0","1","2","1","1","0","0"
"173","173","assaults   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","174","assaulted   ","n","0","0","0","0","0","1","0","0","0","1","0","0","0"
"175","175","assaulting   ","n","1","0","0","0","0","0","2","1","0","1","0","0","0"
"176","176","bitch   ","n","0","1","3","1","13","11","0","1","2","1","0","0","0"
"177","177","bs   ","n","0","0","1","0","6","1","3","0","3","1","1","0","1"
"178","178","bullshit   ","n","0","0","0","0","13","1","1","0","0","0","0","0","2"
"179","179","classless   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","180","classlessness   ","n","0","0","0","0","1","0","0","0","0","0","0","0","0"
"181","181","crazy   ","n","0","2","3","3","20","19","15","9","23","7","4","2","3"
"182","182","crazi   ","n","0","0","0","0","0","1","0","0","0","0","0","0","0"
"183","183","deadbeat   ","n","1","1","2","0","0","1","0","4","1","3","1","5","0"
"184","184","delusional   ","n","0","0","1","0","0","0","0","0","0","0","0","0","0"
"185","185","derogatory   ","n","0","0","0","0","3","0","0","0","0","0","0","0","0"
"186","186","demeaning   ","n","0","0","0","0","2","0","2","0","0","1","0","0","0"
"187","187","disappoint   ","n","0","0","0","0","0","0","0","0","0","0","0","0","1"
"188","188","disappoints   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","189","disappointing   ","n","0","0","0","0","1","0","0","0","2","0","0","0","1"
"190","190","disappointed   ","n","0","0","0","1","3","1","0","0","0","0","0","0","1"
"191","191","drama   ","n","9","22","11","20","116","41","45","25","59","20","25","8","19"
"192","192","estranged   ","n","0","0","0","1","1","1","0","0","2","0","1","0","1"
"193","193","frustrate   ","n","0","0","0","0","2","0","0","0","0","0","0","0","0"
"194","194","frustrates   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","195","frustrating   ","n","0","0","0","0","0","5","0","1","0","0","0","0","0"
"196","196","frustrated   ","n","0","0","0","0","0","0","0","1","0","0","0","0","0"
"197","197","ghetto   ","n","1","35","2","0","7","0","2","0","0","1","0","1","0"
"198","198","gross   ","n","0","0","0","0","0","2","1","2","1","1","1","1","0"
"199","199","hate   ","n","0","2","1","1","20","4","15","12","19","5","1","1","5"
"200","200","hates   ","n","0","0","0","0","6","1","0","3","2","0","0","0","0"
"201","201","hated   ","n","1","0","0","0","0","0","0","0","1","1","0","1","0"
"202","202","hater   ","n","0","0","0","0","1","0","0","0","0","1","1","2","0"
"203","203","hateful   ","n","0","0","0","0","6","0","0","0","0","1","0","0","0"
"204","204","hurt   ","n","1","1","0","0","6","0","1","5","30","3","1","1","2"
"205","205","hurts   ","n","0","0","0","0","0","1","0","1","12","1","0","0","0"
"206","206","hurting   ","n","0","0","0","0","1","1","0","0","4","0","0","0","0"
"207","207","ignorance   ","n","3","0","0","0","12","0","0","0","0","0","0","0","0"
"208","208","ignorant   ","n","0","0","0","0","14","5","5","2","3","1","1","0","1"
"209","209","illegitimate   ","n","0","0","0","0","3","0","0","0","1","1","1","0","0"
"210","210","illegitimacy   ","n","0","2","0","0","1","0","0","0","0","0","0","0","0"
"211","211","insecure   ","n","0","0","0","1","1","0","1","0","8","0","0","1","0"
"212","212","insult   ","n","0","0","0","0","7","1","0","1","1","0","1","1","1"
"213","213","insulted   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","214","insults   ","n","0","0","0","0","3","0","0","0","0","0","0","0","1"
"215","215","insulting   ","n","0","0","3","3","4","5","0","0","0","1","1","0","1"
"216","216","jealous   ","n","1","2","0","4","1","3","5","6","9","3","1","1","2"
"217","217","malicious   ","n","0","0","0","0","0","0","0","0","4","0","0","0","0"
"218","218","mess   ","n","1","0","0","1","4","4","11","7","7","1","5","2","4"
"219","219","negative   ","n","0","1","0","0","6","0","1","3","3","5","5","1","7"
"220","220","neglect   ","n","0","0","0","0","5","0","0","0","1","0","1","0","0"
"221","221","neglects   ","n","0","0","0","0","0","0","0","0","0","0","3","0","0"
"222","222","neglected   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","223","neglecting   ","n","0","0","0","0","1","0","0","0","0","0","0","0","0"
"224","224","painful   ","n","0","0","0","1","0","0","1","1","1","0","0","1","1"
"225","225","painfully   ","n","0","0","0","0","0","0","0","0","1","0","0","0","0"
"226","226","parole   ","n","1","0","0","0","0","0","0","0","0","0","0","0","0"
"227","227","paroles   ","n","5","2","0","0","0","0","0","0","0","0","0","0","0"
"228","228","poor   ","n","0","12","0","0","28","8","5","0","10","2","3","1","17"
"229","229","punch   ","n","0","0","0","0","1","0","1","0","0","0","1","0","0"
"230","230","punches   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","231","punched   ","n","0","0","0","0","0","0","1","0","0","0","1","0","1"
"232","232","punching   ","n","0","0","0","0","0","0","0","0","0","0","0","2","0"
"233","233","smack   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","234","smacks   ","n","0","0","0","1","0","0","0","0","0","0","0","0","0"
"235","235","smacked   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","236","smacking   ","n","0","0","0","0","0","0","2","0","0","0","0","0","0"
"237","237","psycho   ","n","0","0","0","1","2","2","5","1","0","0","0","0","0"
"238","238","racist   ","n","0","3","0","0","86","0","2","0","0","0","0","0","0"
"239","239","rape   ","n","0","0","0","2","1","2","0","0","2","4","1","0","2"
"240","240","raped   ","n","2","0","2","0","1","0","0","0","0","0","0","0","0"
