n,w1,w2,w3,w4,phrase
n,frustrates,,,,frustrates   
n,frustrating,,,,frustrating   
n,frustrated,,,,frustrated   
n,ghetto,,,,ghetto   
n,gross,,,,gross   
n,hate,,,,hate   
n,hates,,,,hates   
n,hated,,,,hated   
n,hater,,,,hater   
n,hateful,,,,hateful   
n,hurt,,,,hurt   
n,hurts,,,,hurts   
n,hurting,,,,hurting   
n,ignorance,,,,ignorance   
n,ignorant,,,,ignorant   
n,illegitimate,,,,illegitimate   
n,illegitimacy,,,,illegitimacy   
n,insecure,,,,insecure   
n,insult,,,,insult   
n,insulted,,,,insulted   
n,insults,,,,insults   
n,insulting,,,,insulting   
n,jealous,,,,jealous   
n,malicious,,,,malicious   
n,mess,,,,mess   
n,negative,,,,negative   
n,neglect,,,,neglect   
n,neglects,,,,neglects   
n,neglected,,,,neglected   
n,neglecting,,,,neglecting   
n,painful,,,,painful   
n,painfully,,,,painfully   
n,parole,,,,parole   
n,paroles,,,,paroles   
n,poor,,,,poor   
n,punch,,,,punch   
n,punches,,,,punches   
n,punched,,,,punched   
n,punching,,,,punching   
n,smack,,,,smack   
n,smacks,,,,smacks   
n,smacked,,,,smacked   
n,smacking,,,,smacking   
n,psycho,,,,psycho   
n,racist,,,,racist   
n,rape,,,,rape   
n,raped,,,,raped   
n,rapes,,,,rapes   
n,rapist,,,,rapist   
n,resent,,,,resent   
n,resents,,,,resents   
n,resented,,,,resented   
n,resenting,,,,resenting   
n,resentful,,,,resentful   
n,sad,,,,sad   
n,sexist,,,,sexist   
n,slut,,,,slut   
n,spite,,,,spite   
n,spiteful,,,,spiteful   
n,std,,,,std   
n,stupid,,,,stupid   
n,sue,,,,sue   
n,sues,,,,sues   
n,sued,,,,sued   
n,suing,,,,suing   
n,lawsuit,,,,lawsuit   
n,syndrome,,,,syndrome   
n,tramp,,,,tramp   
n,tramps,,,,tramps   
n,trash,,,,trash   
n,trashy,,,,trashy   
n,trashing,,,,trashing   
n,unfit,,,,unfit   
n,violent,,,,violent   
n,violence,,,,violence   
n,war,,,,war   
n,wonderful,,,,wonderful   
o,black,,,,black   
o,white,,,,white   
o,money,,,,money   
o,dad,,,,dad   
o,daddy,,,,daddy   
o,daddies,,,,daddies   
o,father,,,,father   
o,athlete,,,,athlete   
o,singer,,,,singer   
o,rapper,,,,rapper   
o,celeb,,,,celeb   
o,celebs,,,,celebs   
o,celebrity,,,,celebrity   
o,race,,,,race   
o,racial,,,,racial   
o,ethnic,,,,ethnic   
o,ethnicity,,,,ethnicity   
o,drug,,,,drug   
o,drugs,,,,drugs   
o,alcohol,,,,alcohol   
o,drunk,,,,drunk   
