w1,w2,count,p1,p2,joint.prob.nonnorm,joint.prob,expected,disparity,score
moments,of,70,0.000299235,0.01604359,4.80E-06,1.88E-05,5.704758113,12.27045891,0.791957446
important,addthis_button_tweet,14,0.000295947,4.60E-05,1.36E-08,5.32E-08,0.01618958,864.7537746,0.791146119
100px,important,14,4.60E-05,0.000295947,1.36E-08,5.32E-08,0.01618958,864.7537746,0.791146119
105px,important,14,4.60E-05,0.000295947,1.36E-08,5.32E-08,0.01618958,864.7537746,0.791146119
90px,important,14,4.60E-05,0.000295947,1.36E-08,5.32E-08,0.01618958,864.7537746,0.791146119
important,addthis_button_google_plusone,14,0.000295947,4.60E-05,1.36E-08,5.32E-08,0.01618958,864.7537746,0.791146119
ne,yo,21,9.86E-05,0.000236757,2.34E-08,9.13E-08,0.027753565,756.6595528,0.78881311
but,he,70,0.004971902,0.007599249,3.78E-05,0.000147634,44.89694193,1.559126234,0.774956657
that,we,70,0.011456419,0.003485592,3.99E-05,0.000156034,47.4514006,1.475193548,0.774823441
his,daughter,69,0.006356274,0.000970047,6.17E-06,2.41E-05,7.326876888,9.417382202,0.763253144
talks,peter,15,0.000243334,6.25E-05,1.52E-08,5.94E-08,0.018065515,830.3112345,0.760655648
each,other,62,0.000345271,0.001364642,4.71E-07,1.84E-06,0.559889625,110.7361116,0.754832242
the,day,69,0.032968442,0.001052254,3.47E-05,0.000135554,41.22329506,1.673810886,0.75096272
dont,want,68,0.002686537,0.001706625,4.58E-06,1.79E-05,5.448217522,12.48114631,0.74393992
legette,provides,15,0.000180856,8.55E-05,1.55E-08,6.04E-08,0.018373888,816.375941,0.73853786
daily,urbandictionary,11,0.00026964,3.95E-05,1.06E-08,4.16E-08,0.012643291,870.0266635,0.726987244
mr,legette,34,0.000305811,0.000180856,5.53E-08,2.16E-07,0.065721984,517.3307039,0.723243193
ad,choices,11,0.000124955,8.55E-05,1.07E-08,4.17E-08,0.012694686,866.5042883,0.721396608
pauly,ds,10,0.000170991,5.59E-05,9.56E-09,3.73E-08,0.011358403,880.4054266,0.719284224
top,black,63,0.000519551,0.001555363,8.08E-07,3.16E-06,0.960247648,65.60807533,0.707381989
document,write,32,0.000200586,0.00024991,5.01E-08,1.96E-07,0.059567374,537.2068315,0.706438216
because,i,67,0.001917076,0.014264622,2.73E-05,0.000106854,32.49549274,2.061824406,0.703226642
they,were,66,0.003465863,0.001433696,4.97E-06,1.94E-05,5.904622327,11.17768358,0.693519168
lauren,london,19,0.000180856,0.000121667,2.20E-08,8.60E-08,0.026147456,726.6481349,0.69282773
dont,have,66,0.002686537,0.005576948,1.50E-05,5.85E-05,17.80380909,3.707071878,0.68166198
are,not,66,0.004843658,0.005146181,2.49E-05,9.74E-05,29.6197994,2.228239264,0.679314809
from,her,66,0.003271853,0.008010286,2.62E-05,0.000102408,31.14335447,2.119232212,0.679141796
up,for,66,0.003225817,0.008924432,2.88E-05,0.00011249,34.20927537,1.929301316,0.678840342
about,it,66,0.003791404,0.007714339,2.92E-05,0.000114286,34.75540385,1.898985271,0.678792225
i,do,66,0.014264622,0.002541852,3.63E-05,0.000141678,43.08579054,1.531827528,0.67820948
and,more,66,0.022837206,0.00241032,5.50E-05,0.000215085,65.40956319,1.009026766,0.677379702
new,york,57,0.001854598,0.000187433,3.48E-07,1.36E-06,0.413065558,137.9926236,0.67721336
can,be,65,0.001933517,0.005813705,1.12E-05,4.39E-05,13.35748241,4.866186457,0.659325738
i,cant,65,0.014264622,0.000802344,1.14E-05,4.47E-05,13.60017192,4.779351349,0.659187915
a,comment,65,0.021117428,0.000664236,1.40E-05,5.48E-05,16.66812293,3.899659263,0.657791688
you,dont,65,0.010821778,0.002686537,2.91E-05,0.000113602,34.54736775,1.881474747,0.65458847
for,him,65,0.008924432,0.003446133,3.08E-05,0.000120173,36.54568867,1.778595571,0.654425183
that,they,65,0.011456419,0.003465863,3.97E-05,0.00015515,47.18280777,1.377620432,0.653788764
she,doesnt,64,0.007934655,0.000782614,6.21E-06,2.43E-05,7.379030462,8.673226155,0.641192225
jennifer,williams,16,0.000105225,0.00017428,1.83E-08,7.17E-08,0.021791688,734.2249029,0.632325521
they,have,64,0.003465863,0.005576948,1.93E-05,7.55E-05,22.96843914,2.786432269,0.631848836
around,the,64,0.000815497,0.032968442,2.69E-05,0.000105054,31.94805367,2.003251925,0.63060579
not,be,64,0.005146181,0.005813705,2.99E-05,0.000116904,35.55180267,1.80019001,0.630283495
truly,believes,11,0.00017428,6.58E-05,1.15E-08,4.48E-08,0.013619805,807.6473932,0.627980253
www,fatherswithvoices,19,0.000236757,9.86E-05,2.34E-08,9.13E-08,0.027753565,684.5967382,0.626084689
privacy,policy,26,0.000213739,0.000177568,3.80E-08,1.48E-07,0.045099543,576.5025164,0.62375168
TRUE,addthis_button_facebook_share,14,0.000338694,4.60E-05,1.56E-08,6.09E-08,0.018528074,755.6100943,0.617915697
data_track_addressbar,TRUE,14,4.60E-05,0.000338694,1.56E-08,6.09E-08,0.018528074,755.6100943,0.617915697
may,have,63,0.001035813,0.005576948,5.78E-06,2.26E-05,6.864381717,9.177811287,0.617817129
louis,tomlinson,17,0.000180856,0.000111802,2.02E-08,7.90E-08,0.024027392,707.5258156,0.614125286
http,www,33,0.000253199,0.000236757,5.99E-08,2.34E-07,0.07123415,463.2609507,0.613248921
live,in,63,0.000723425,0.012064753,8.73E-06,3.41E-05,10.37135301,6.074424418,0.612891502
the,fact,63,0.032968442,0.000368289,1.21E-05,4.74E-05,14.42815327,4.36646318,0.610180664
to,keep,63,0.02759208,0.000532704,1.47E-05,5.74E-05,17.46601223,3.607005376,0.608975269
